financier,apr_strategy,wholesaler_policy,final_wallet,initial_capital,final_capital,capital_change,capital_loss,capital_loss_rate,final_apr,final_utilization,loans_issued,closed_loans,defaults,default_count_rate,total_issued_principal,default_amount,default_amount_to_issued_rate,default_amount_to_initial_capital_rate,outstanding_loans,simulation_end_day,non_iid_level,non_iid_tag,seed,default_scenario,capital_per_financier
Fin_fl_rl_prox_2,pure_rl,fl_rl_prox,1844983.4165999335,1000000.0,1844983.4165999168,844983.4165999168,0.0,0.0,6.0,0.0,666,666,32,0.04804804804804805,22987277.56707637,38826.258696979894,0.0016890324912850478,0.03882625869697989,0,2267,0.0,0p00,436570,low_default,1000000.0
Fin_fl_rl_prox_3,pure_rl,fl_rl_prox,1360183.8505043045,1000000.0,1360183.8505043092,360183.8505043092,0.0,0.0,6.0,0.0,718,718,76,0.10584958217270195,20860821.580005366,83493.42439246198,0.0040024034562708005,0.08349342439246198,0,2267,0.0,0p00,436570,low_default,1000000.0
Fin_fl_rl_scaffold_1,pure_rl,fl_rl_scaffold,2120818.7917438233,1000000.0,2120818.7917438066,1120818.7917438066,0.0,0.0,6.0,0.0,696,696,46,0.06609195402298851,25444793.02164566,94429.41430547748,0.003711148847827027,0.09442941430547748,0,2267,0.0,0p00,436570,low_default,1000000.0
Fin_fl_rl_scaffold_2,pure_rl,fl_rl_scaffold,1810918.8268054272,1000000.0,1810918.8268053718,810918.8268053718,0.0,0.0,6.0,0.0,754,754,73,0.09681697612732096,23973062.282356594,86722.48408180251,0.0036174971332564167,0.08672248408180251,0,2267,0.0,0p00,436570,low_default,1000000.0
Fin_fl_rl_scaffold_3,pure_rl,fl_rl_scaffold,1954803.4241260148,1000000.0,1954803.4241259624,954803.4241259624,0.0,0.0,6.0,0.0,653,653,58,0.0888208269525268,23412729.57727488,89125.88712875966,0.003806727739053032,0.08912588712875966,0,2267,0.0,0p00,436570,low_default,1000000.0
Fin_fl_rl_1,pure_rl,fl_rl,1656164.1615003278,1000000.0,1656164.1615003406,656164.1615003406,0.0,0.0,6.0,0.0,732,732,53,0.07240437158469945,23749074.059861846,89285.50250210254,0.003759536151895849,0.08928550250210253,0,2276,0.0,0p00,831197,low_default,1000000.0
Fin_fl_rl_2,pure_rl,fl_rl,1715729.1322614616,1000000.0,1715729.1322615782,715729.1322615782,0.0,0.0,6.0,0.0,733,733,55,0.07503410641200546,24427585.806263488,106090.1522119909,0.004343046957378338,0.1060901522119909,0,2276,0.0,0p00,831197,low_default,1000000.0
Fin_fl_rl_3,pure_rl,fl_rl,2071109.9266595424,1000000.0,2071109.9266595074,1071109.9266595074,0.0,0.0,6.0,0.0,641,641,35,0.054602184087363496,24529951.162600137,66857.42203085763,0.002725542402742022,0.06685742203085764,0,2276,0.0,0p00,831197,low_default,1000000.0
Fin_fl_rl_prox_1,pure_rl,fl_rl_prox,1648035.407669552,1000000.0,1648035.4076695598,648035.4076695598,0.0,0.0,6.0,0.0,661,661,115,0.17397881996974282,22603550.609618004,181251.56321621742,0.008018720879147779,0.1812515632162174,0,2276,0.0,0p00,831197,low_default,1000000.0
Fin_fl_rl_prox_2,pure_rl,fl_rl_prox,1849699.337985164,1000000.0,1849699.3379850676,849699.3379850676,0.0,0.0,6.0,0.0,570,570,66,0.11578947368421053,21798266.92545113,121311.2148779359,0.005565177052506677,0.12131121487793589,0,2276,0.0,0p00,831197,low_default,1000000.0
